adaptive,attn_type,batch_chunk,batch_size,bptt_bp,clamp_len,clip,clip_nonemb,cuda,d_embed,d_head,d_inner,d_model,data,dataset,debug,decay_rate,device_ids,div_val,dropatt,dropout,dynamic_loss_scale,emb_init,emb_init_range,eta_min,eval_interval,eval_tgt_len,ext_len,finetune_v2,finetune_v3,fp16,gpu0_bsz,init,init_range,init_std,log_interval,lr,lr_min,max_eval_steps,max_step,mem_at_end,mem_backprop_depth,mem_len,mom,multi_gpu,n_all_param,n_head,n_layer,n_nonemb_param,n_token,not_tied,num_mem_tokens,optim,patience,pre_lnorm,proj_init_std,read_mem_from_cache,restart,restart_dir,same_length,sample_softmax,scheduler,seed,static_loss_scale,test loss,test ppl,tgt_len,tied,varlen,warmup_step,work_dir,test bpc,mem_recursion_depth
False,0,1,22,,-1,0.25,False,True,512,64,2048,512,../data/enwik8/,enwik8,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,128,0,False,False,False,11,normal,0.1,0.02,200,0.00025,0.0,-1,400000,False,0.0,0,0.0,True,41186508,8,12,40949760,204,False,256,adam,0,False,0.01,,False,,False,-1,cosine,1111,1,0.93,,512,True,False,0,./runs/base-mem-256-256-enwik8/20211207-131913,1.3371899999999999,0.0
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,2.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1338,1,3.29,26.959,50,True,False,0,./runs/base-mem-5-5-bpd-2-tgt-50-wt103/20220120-174207,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,2.0,0,0.0,True,151109588,10,16,41066400,267735,False,5,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.28,26.706999999999997,50,True,False,0,./runs/base-mem-5-5-bpd-2-tgt-50-wt103/20211229-144356,,
False,0,1,64,False,-1,0.25,False,True,512,64,2048,512,../data/enwik8/,enwik8,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,128,0,False,False,False,32,normal,0.1,0.02,200,0.00025,0.0,-1,400000,True,0.0,10,0.0,True,41065676,8,12,40949760,204,False,20,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,0.9,,128,True,False,0,./runs/base-mem-10-10-tgt-128-enwik8/20220114-165919,1.30271,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,1.0,0,0.0,True,151107948,10,16,41066400,267735,False,1,adam,0,False,0.01,False,False,,False,-1,cosine,1301,1,3.36,28.73,50,True,False,0,./runs/base-mem-1-1-bpd-1-tgt-50-wt103/20220125-234817,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,1.0,0,0.0,True,151107948,10,16,41066400,267735,False,1,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.36,28.693,50,True,False,0,./runs/base-mem-1-1-bpd-1-tgt-50-wt103/20211230-110106,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,3.0,0,0.0,True,151111638,10,16,41066400,267735,False,10,adam,0,False,0.01,False,False,,False,-1,cosine,1310,1,3.27,26.384,50,True,False,0,./runs/base-mem-10-10-bpd-3-tgt-50-wt103/20220123-174654,,
True,0,1,128,False,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,50,0,False,False,False,64,normal,0.1,0.02,200,0.00025,0.0,-1,200000,True,3.0,0,0.0,True,151111638,10,16,41066400,267735,False,10,adam,0,False,0.01,False,False,,False,-1,cosine,1337,1,3.27,26.366,50,True,False,0,./runs/base-mem-10-10-bpd-3-tgt-50-wt103/20220112-103626,,
False,0,1,22,,-1,0.25,False,True,512,64,2048,512,../data/enwik8/,enwik8,False,0.5,"[2, 3]",1,0.0,0.1,False,normal,0.01,0.0,4000,128,0,False,False,False,11,normal,0.1,0.02,200,0.00025,0.0,-1,400000,False,0.0,512,0.0,True,41055436,8,12,40949760,204,False,0,adam,0,False,0.01,,False,,False,-1,cosine,1111,1,0.74,,512,True,False,0,./runs/base-txl-512-enwik8/20211202-204932,1.07134,0.0
True,0,1,60,,-1,0.25,False,True,410,41,2100,410,../data/wikitext-103,wt103,False,0.5,"[0, 1]",1,0.0,0.1,False,normal,0.01,0.0,4000,150,0,False,False,False,30,normal,0.1,0.02,200,0.00025,0.0,-1,200000,False,0.0,0,0.0,True,151107538,10,16,41066400,267735,False,0,adam,0,False,0.01,,False,,False,-1,cosine,1111,1,3.4,29.941,150,True,False,0,./runs/base-wt103/20211203-180208,,0.0
